"","Day","Month","Year","Waterbody","Site","Sex","CW","Color","Barnacles","YearClass","TrapType","X","X.1","age_march","age_feb","sex_int"
"520",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"521",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",70.5,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"522",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",81,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"523",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",65,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"524",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",70,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"525",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",68,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"526",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",66,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"527",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",41.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"528",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",63,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"529",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",77,"Light-Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"530",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",64,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"531",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",68,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"532",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",72,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"533",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",42,"Yellow","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"534",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",40.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"535",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",42,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"536",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",39,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"537",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",44,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"538",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"539",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",62,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"540",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",68.5,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"541",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",33,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"542",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"543",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",41.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"544",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",47,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"545",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",43,"Yellow","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"546",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",34,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"547",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",71,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"548",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",63,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"549",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",69,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"550",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",67,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"551",15,9,2020,"Drayton Harbor","Core - California Creek","Female",43.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"552",15,9,2020,"Drayton Harbor","Core - California Creek","Male",41,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"553",15,9,2020,"Drayton Harbor","Core - California Creek","Female",39,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"554",15,9,2020,"Drayton Harbor","Core - California Creek","Female",32,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"555",16,9,2020,"Drayton Harbor","Index - DC - Mouth","Female",40.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"556",16,9,2020,"Drayton Harbor","Index - DC - Mouth","Male",41.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"557",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",61,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"558",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"559",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",39,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"560",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",68,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"561",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",65,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"562",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",37,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"563",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",53.5,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"564",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",44,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"565",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",42,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"566",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",43,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"567",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",67,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"568",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",65,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"569",16,9,2020,"Drayton Harbor","Index - CC - Graveyard","Male",37,"Yellow","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"570",16,9,2020,"Drayton Harbor","Index - CC - Bridge Way","Male",42,"Light-Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"571",16,9,2020,"Drayton Harbor","Index - CC - Bridge Way","Female",45,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"572",29,9,2020,"Drayton Harbor","Core - Pillars","Female",61,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"573",29,9,2020,"Drayton Harbor","Core - Pillars","Female",37.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"574",29,9,2020,"Drayton Harbor","Core - Pillars","Female",32,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"575",29,9,2020,"Drayton Harbor","Core - Pillars","Male",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"576",29,9,2020,"Drayton Harbor","Core - Pillars","Female",35.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"577",29,9,2020,"Drayton Harbor","Core - Pillars","Female",61.5,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"578",29,9,2020,"Drayton Harbor","Core - California Creek","Male",70,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"579",29,9,2020,"Drayton Harbor","Core - California Creek","Male",48.5,"Yellow","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"580",29,9,2020,"Drayton Harbor","Core - California Creek","Female",37.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"581",29,9,2020,"Drayton Harbor","Prospecting - California Creek","Female",44,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"582",29,9,2020,"Drayton Harbor","Prospecting - California Creek","Female",48,"Light-Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"583",30,9,2020,"Drayton Harbor","Core - Pillars","Female",27.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"584",30,9,2020,"Drayton Harbor","Core - Pillars","Male",42,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"585",30,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",50.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"586",30,9,2020,"Drayton Harbor","Prospecting - California Creek","Male",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"587",30,9,2020,"Drayton Harbor","Core - California Creek","Female",28,"Yellow","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"588",13,10,2020,"Drayton Harbor","Index - CC - Bridge Way","Female",50,"Light-Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,1
"589",13,10,2020,"Drayton Harbor","Core - Jetty","Male",38,"Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,2
"590",13,10,2020,"Drayton Harbor","Core - Pillars","Female",45,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"591",13,10,2020,"Drayton Harbor","Core - Pillars","Female",37,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"592",13,10,2020,"Drayton Harbor","Core - Pillars","Male",46,"Yellow","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"593",13,10,2020,"Drayton Harbor","Core - Pillars","Female",33,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"594",13,10,2020,"Drayton Harbor","Core - Pillars","Male",34,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"595",13,10,2020,"Drayton Harbor","Core - Pillars","Male",44,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"596",13,10,2020,"Drayton Harbor","Core - Pillars","Male",48.5,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"597",13,10,2020,"Drayton Harbor","Core - Pillars","Female",62,"Green","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,1
"598",13,10,2020,"Drayton Harbor","Core - Pillars","Female",39,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"599",13,10,2020,"Drayton Harbor","Core - Pillars","Male",39,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"600",13,10,2020,"Drayton Harbor","Core - California Creek","Female",66,"Green","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,1
"601",14,10,2020,"Drayton Harbor","Core - Pillars","Male",50,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"602",14,10,2020,"Drayton Harbor","Core - Pillars","Male",50,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"603",14,10,2020,"Drayton Harbor","Core - Pillars","Female",54,"Orange","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"604",14,10,2020,"Drayton Harbor","Core - Pillars","Male",50,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"605",14,10,2020,"Drayton Harbor","Core - Pillars","Female",42.5,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"606",14,10,2020,"Drayton Harbor","Core - Pillars","Female",56,"Orange","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,1
"607",14,10,2020,"Drayton Harbor","Core - Pillars","Female",43,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"608",14,10,2020,"Drayton Harbor","Core - California Creek","Male",66,"Orange","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,2
"609",14,10,2020,"Drayton Harbor","Index - DC - Mouth","Male",64,"Red/Orange","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,2
"610",14,10,2020,"Drayton Harbor","Index - DC - Mouth","Male",48,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"611",15,10,2020,"Drayton Harbor","Core - Pillars","Male",39,"Light-Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"612",15,10,2020,"Drayton Harbor","Core - Pillars","Female",53,"Orange","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,1
"613",15,10,2020,"Drayton Harbor","Core - Pillars","Female",66,"Green","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,1
"614",15,10,2020,"Drayton Harbor","Core - Pillars","Male",44,"Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"615",15,10,2020,"Drayton Harbor","Core - Pillars","Male",39,"Light-Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,2
"616",15,10,2020,"Drayton Harbor","Core - Pillars","Female",59,"Orange","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,1
"617",15,10,2020,"Drayton Harbor","Core - Pillars","Female",61,"Orange","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,1
"618",15,10,2020,"Drayton Harbor","Core - Pillars","Female",44,"Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,1
"619",15,10,2020,"Drayton Harbor","Core - Pillars","Male",44,"Light-Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,2
"620",15,10,2020,"Drayton Harbor","Core - Pillars","Male",73,"Yellow","No",2019,"Fukui",NA,NA,1.77777777777778,1.66666666666667,2
"621",15,10,2020,"Drayton Harbor","Prospecting - Willse's/DNR West","Male",43,"Light-Green","No",2020,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"622",NA,8,2000,"Nootka Sound","Bligh Island","Male",61,"","",1999,"",NA,NA,1.55555555555556,1.5,2
"623",NA,8,2001,"Little Espinosa Inlet","Esperanza Inlet","Male",73,"","",1999,"",NA,NA,2.55555555555556,2.5,2
"624",NA,8,2001,"Little Espinosa Inlet","Esperanza Inlet","Male",79,"","",1999,"",NA,NA,2.55555555555556,2.5,2
"625",NA,8,2001,"Little Espinosa Inlet","Esperanza Inlet","Male",81,"","",1999,"",NA,NA,2.55555555555556,2.5,2
"626",NA,6,2007,"Klaskino Inlet","","Female",68,"","",2005,"",NA,NA,2.33333333333333,2.33333333333333,1
"627",NA,6,2011,"Gale Passage","","Male",65,"","",2010,"",NA,NA,1.33333333333333,1.33333333333333,2
"628",NA,6,2011,"Gale Passage","","Female",63,"","",2010,"",NA,NA,1.33333333333333,1.33333333333333,1
"629",NA,5,2015,"Kildidt Inlet","","Female",72,"","",2013,"",NA,NA,2.22222222222222,2.25,1
"630",NA,5,2015,"Kildidt Inlet","","Female",78,"","",2012,"",NA,NA,3.22222222222222,3.25,1
"631",NA,5,2016,"Higgins Passage","","Female",54,"","",2015,"",NA,NA,1.22222222222222,1.25,1
"633",NA,7,2020,"Daajing Giids","","Male",38,"","",2020,"",NA,NA,0.444444444444444,0.416666666666667,2
"634",NA,7,1999,"Price Bay","Esquimalt Harbour","Male",65,"","",1998,"",NA,NA,1.44444444444444,1.41666666666667,2
"635",NA,10,2017,"Becher Bay","","Male",71,"","",2016,"",NA,NA,1.77777777777778,1.66666666666667,2
"636",NA,10,2017,"Becher Bay","","Male",72,"","",2016,"",NA,NA,1.77777777777778,1.66666666666667,2
"637",NA,10,2017,"Becher Bay","","Male",74,"","",2016,"",NA,NA,1.77777777777778,1.66666666666667,2
"638",NA,7,1995,"Humboldt Bay","","Male",83,"","",1993,"",NA,NA,2.44444444444444,2.41666666666667,2
"639",NA,7,1995,"Humboldt Bay","","Male",88,"","",1993,"",NA,NA,2.44444444444444,2.41666666666667,2
"640",NA,3,1997,"Coos Bay","","Male",58,"","",1996,"",NA,NA,1,1.08333333333333,2
"641",NA,10,1997,"Coos Bay","","Male",87,"","",1995,"",NA,NA,2.77777777777778,2.66666666666667,2
"642",NA,11,1998,"Yaquina Bay","","Male",85,"","",1996,"",NA,NA,2.88888888888889,2.75,2
"643",NA,7,1999,"Barkley Sound","Useless Inlet","Male",75,"","",1998,"",NA,NA,1.44444444444444,1.41666666666667,2
"644",NA,7,1999,"Barkley Sound","Useless Inlet","Female",58,"","",1998,"",NA,NA,1.44444444444444,1.41666666666667,1
"645",NA,5,2000,"Clayoquot Sound","Lemmens Inlet","Male",55,"","",1999,"",NA,NA,1.22222222222222,1.25,2
"646",NA,10,2018,"Witty's Lagoon","","Male",72,"","",2016,"",NA,NA,2.77777777777778,2.66666666666667,2
"647",NA,6,2019,"Witty's Lagoon","","Male",82,"","",2016,"",NA,NA,3.33333333333333,3.33333333333333,2
"648",NA,6,2019,"Witty's Lagoon","","Male",92,"","",2016,"",NA,NA,3.33333333333333,3.33333333333333,2
"649",NA,4,2019,"Esquimalt Lagoon","","Female",66,"","",2017,"",NA,NA,2.11111111111111,2.16666666666667,1
"650",NA,5,2019,"Esquimalt Lagoon","","Female",77,"","",2017,"",NA,NA,2.22222222222222,2.25,1
"651",NA,9,2017,"Whidbey Island","Lagoon Point","Male",49,"","",2017,"",NA,NA,0.666666666666667,0.583333333333333,2
"652",NA,10,2017,"Whidbey Island","Lagoon Point","Male",51,"","",2017,"",NA,NA,0.777777777777778,0.666666666666667,2
"653",NA,6,2018,"Whidbey Island","Lagoon Point","Male",58,"","",2017,"",NA,NA,1.33333333333333,1.33333333333333,2
"654",NA,5,2019,"Sequim Bay","","Male",80,"","",2016,"",NA,NA,3.22222222222222,3.25,2
"655",NA,6,2019,"Sequim Bay","","Male",80,"","",2016,"",NA,NA,3.33333333333333,3.33333333333333,2
"656",NA,9,2019,"Sequim Bay","","Male",80,"","",2016,"",NA,NA,3.66666666666667,3.58333333333333,2
"657",NA,9,2018,"Scow Bay","","Male",62,"","",2017,"",NA,NA,1.66666666666667,1.58333333333333,2
"658",NA,9,2018,"Port Townshend Bay","","Male",77,"","",2016,"",NA,NA,2.66666666666667,2.58333333333333,2
"659",NA,8,2016,"Westcott Bay","","Male",74,"","",2015,"",NA,NA,1.55555555555556,1.5,2
"660",NA,7,2018,"Westcott Bay","","Male",69,"","",2017,"",NA,NA,1.44444444444444,1.41666666666667,2
"661",NA,7,2018,"Westcott Bay","","Female",58,"","",2017,"",NA,NA,1.44444444444444,1.41666666666667,1
"662",NA,8,2019,"Westcott Bay","","Male",64,"","",2018,"",NA,NA,1.55555555555556,1.5,2
"663",NA,4,2017,"Padilla Bay","","Male",47,"","",2016,"",NA,NA,1.11111111111111,1.16666666666667,2
"664",NA,1,2019,"Samish Bay","","Female",74,"","",2016,"",NA,NA,2.77777777777778,2.91666666666667,1
"665",NA,7,2019,"Bellingham","Mud Bay","Male",78,"","",2017,"",NA,NA,2.44444444444444,2.41666666666667,2
"666",NA,7,2019,"Bellingham","Mud Bay","Male",80,"","",2017,"",NA,NA,2.44444444444444,2.41666666666667,2
"667",NA,7,2019,"Bellingham","Mud Bay","Female",46,"","",2018,"",NA,NA,1.44444444444444,1.41666666666667,1
"668",NA,7,2019,"Chuckanut Bay","","Male",78,"","",2017,"",NA,NA,2.44444444444444,2.41666666666667,2
"669",NA,4,2020,"Chuckanut Bay","","Male",43,"","",2019,"",NA,NA,1.11111111111111,1.16666666666667,2
"670",NA,7,2019,"Salt Spring Island","Booth Bay","Male",53,"","",2018,"",NA,NA,1.44444444444444,1.41666666666667,2
"671",NA,7,2019,"Salt Spring Island","Booth Bay","Male",70,"","",2018,"",NA,NA,1.44444444444444,1.41666666666667,2
"672",NA,10,2019,"Salt Spring Island","Booth Bay","Male",36,"","",2019,"",NA,NA,0.777777777777778,0.666666666666667,2
"673",NA,9,2019,"Salt Spring Island","Fulford Harbour","Female",53,"","",2018,"",NA,NA,1.66666666666667,1.58333333333333,1
"674",NA,10,2019,"Boundary Bay","Blackie Spit","Female",59,"","",2018,"",NA,NA,1.77777777777778,1.66666666666667,1
"675",NA,10,2019,"Boundary Bay","Blackie Spit","Female",65,"","",2018,"",NA,NA,1.77777777777778,1.66666666666667,1
"676",NA,11,2019,"Boundary Bay","Blackie Spit","Female",53,"","",2018,"",NA,NA,1.88888888888889,1.75,1
"677",NA,10,2019,"Lummi Bay","","Male",71,"","",2018,"",NA,NA,1.77777777777778,1.66666666666667,2
"678",NA,12,2019,"Lummi Bay","","Male",62,"","",2018,"",NA,NA,2,1.83333333333333,2
